Orth,Phon
b,b
bb,b
c,k
ch,x
chs,ks
ck,k
d,d
dd,d
dsch,d͡ʒ
dt,t
f,f
ff,f
g,ɡ
gg,k
ig,iç
h,h
j,j
k,k
l,l
ll,l
m,m
mm,m
n,n
nn,n
ng,ŋ
nk,ŋk
p,p
pp,p
pf,p͡f
ph,f
qu,kv
r,ʁ
rr,ʁ
ʀ,ʀ
s,s
sch,ʃ
ss,s
ß,s
t,t
tt,t
th,t
ti,ti
tsch,t͡ʃ
tz,t͡s
tzsch,t͡ʃ
v,f
w,v
x,ks
z,t͡s
<zed>,z
zsch,t͡ʃ
i,i
ie,iː
ih,iː
ieh,iː
e,e
ä,e
äh,eː
eh,eː
ee,eː
y,y
ü,y
üh,yː
ö,ø
öh,øː
öo,øː
u,u
uh,uː
o,o
oh,oː
oo,oː
a,a
ah,aː
aa,aː
en,ən
au,au
eu,oy
äu,oy
ei,ai
ai,ai
ey,ai
ay,ai
ə,ə
ɐ,ɐ
